if found, contact efe@unc.edu
Firmware updated: 2022/05/15
OpenOBS SN:7

time,millis,R0,gain,temp
1657328076,4,3,0,11.00
1657328076,11,3,0,
1657328076,17,4,0,
1657328076,21,3,0,
1657328076,26,3,0,
1657328076,31,4,0,
1657328076,36,3,0,
1657328076,41,3,0,
1657328076,46,4,0,
1657328077,51,4,0,
1657328077,57,3,0,
1657328077,62,3,0,
1657328077,67,4,0,
1657328077,72,2,0,
1657328077,77,2,0,
1657328077,82,3,0,
1657328077,86,1,0,
1657328077,91,16,0,
1657328077,96,3,0,
1657328077,102,2,0,
1657328077,108,5,0,
1657328077,113,5,0,
1657328077,118,38,0,
1657328077,123,3,0,
1657328077,128,2,0,
1657328077,133,5,0,
1657328077,138,4,0,
1657328077,144,3,0,
1657328077,149,5,0,
1657328077,154,4,0,
1657328077,159,69,0,
1657328077,164,3,0,
1657328077,169,8,0,
1657328077,174,20,0,
1657328077,179,4,0,
1657328077,185,32,0,
1657328077,190,5,0,
1657328077,195,3,0,
1657328077,200,4,0,
1657328077,205,2,0,
1657328077,210,3,0,
1657328077,215,3,0,
1657328077,220,6,0,
1657328077,225,4,0,
1657328077,232,2,0,
1657328077,237,13,0,
1657328077,242,4,0,
1657328077,247,4,0,
1657328077,252,3,0,
1657328077,257,2,0,
1657328077,262,4,0,
1657328077,267,4,0,
1657328077,273,5,0,
1657328077,278,4,0,
1657328077,283,3,0,
1657328077,288,3,0,
1657328077,293,4,0,
1657328077,298,4,0,
1657328077,303,3,0,
1657328077,308,4,0,
1657328077,314,3,0,
1657328077,319,4,0,
1657328077,324,4,0,
1657328077,329,3,0,
1657328077,334,3,0,
1657328077,339,4,0,
1657328077,344,3,0,
1657328077,349,4,0,
1657328077,355,4,0,
1657328077,361,3,0,
1657328077,366,4,0,
1657328077,371,4,0,
1657328077,376,3,0,
1657328077,381,4,0,
1657328077,386,6,0,
1657328077,391,3,0,
1657328077,397,2,0,
1657328077,402,3,0,
1657328077,407,2,0,
1657328077,412,5,0,
1657328077,417,5,0,
1657328077,422,2,0,
1657328077,427,3,0,
1657328077,432,2,0,
1657328077,437,4,0,
1657328077,443,4,0,
1657328077,448,3,0,
1657328077,453,4,0,
1657328077,458,3,0,
1657328077,463,4,0,
1657328077,468,3,0,
1657328077,473,4,0,
1657328077,478,3,0,
1657328077,484,3,0,
1657328077,489,2,0,
1657328077,494,4,0,
1657328077,499,3,0,
1657328077,504,4,0,
1657328077,509,4,0,
1657328077,514,2,0,
1657328077,521,2537,1,
1657328077,527,2657,1,
1657328077,532,2367,1,
1657328077,537,2507,1,
1657328077,543,2637,1,
1657328077,548,2502,1,
1657328077,553,2380,1,
1657328077,558,2349,1,
1657328077,563,2377,1,
1657328077,570,2408,1,
1657328077,575,2386,1,
1657328077,580,2655,1,
1657328077,585,2782,1,
1657328077,590,2493,1,
1657328077,596,2530,1,
1657328077,602,2480,1,
