time,R0_V,R0_V_sd,dt,NTU,NTU_sd
1654764054.948,NaN,NaN,09-06-2022 08:40:54.9480,NaN,NaN
1654764083.994,NaN,NaN,09-06-2022 08:41:23.9940,NaN,NaN
1654764099.058,NaN,NaN,09-06-2022 08:41:39.0580,NaN,NaN
1654764109.002,1.91474914550781,1.89916072979747,09-06-2022 08:41:49.0020,722.439207271425,716.132924689429
1654764878.996,NaN,NaN,09-06-2022 08:54:38.9960,NaN,NaN
1654768479.718,1.79931640625,0.0118321646912992,09-06-2022 09:54:39.7180,675.740974012828,-47.3845152986845
1654772079.733,NaN,NaN,09-06-2022 10:54:39.7330,NaN,NaN
1654775679.739,NaN,NaN,09-06-2022 11:54:39.7390,NaN,NaN
1654779279.731,NaN,NaN,09-06-2022 12:54:39.7310,NaN,NaN
1654782879.723,NaN,NaN,09-06-2022 13:54:39.7230,NaN,NaN
1654786479.713,NaN,NaN,09-06-2022 14:54:39.7130,NaN,NaN
1654790079.703,NaN,NaN,09-06-2022 15:54:39.7030,NaN,NaN
1654793679.688,NaN,NaN,09-06-2022 16:54:39.6879,NaN,NaN
1654797279.747,NaN,NaN,09-06-2022 17:54:39.7470,NaN,NaN
1654800879.73,NaN,NaN,09-06-2022 18:54:39.7300,NaN,NaN
1654804479.731,NaN,NaN,09-06-2022 19:54:39.7310,NaN,NaN
1654808079.67,0.0543212890625,0.00262586328516782,09-06-2022 20:54:39.6700,-30.1955699994802,-51.1089180398537
1654811679.674,0.053863525390625,0.00308625698650158,09-06-2022 21:54:39.6740,-30.3807579701025,-50.9226660926687
1654815279.657,0.050506591796875,0.00209281839918862,09-06-2022 22:54:39.6570,-31.7388030879995,-51.3245609725504
1654818879.707,0.0482177734375,0.00231045099411897,09-06-2022 23:54:39.7070,-32.6647429411112,-51.2365178597552
1654822479.629,0.04669189453125,0.00163568521083266,10-06-2022 00:54:39.6290,-33.2820361765189,-51.5094938815097
1654826079.69,0.046844482421875,0.00261714409209195,10-06-2022 01:54:39.6899,-33.2203068529782,-51.1124453832634
1654829679.68,0.045013427734375,0.00228609118498634,10-06-2022 02:54:39.6800,-33.9610587354675,-51.2463726033602
1654833279.678,0.042877197265625,0.00194188915618568,10-06-2022 03:54:39.6780,-34.8252692650383,-51.3856192913654
1654836879.665,0.04180908203125,0.00206098714500065,10-06-2022 04:54:39.6650,-35.2573745298237,-51.3374382839833
1654840479.753,0.0405120849609375,0.00176524362355002,10-06-2022 05:54:39.7530,-35.7820737799203,-51.4570811170151
1654844079.754,NaN,NaN,10-06-2022 06:54:39.7540,NaN,NaN
1654847679.754,NaN,NaN,10-06-2022 07:54:39.7540,NaN,NaN
1654851279.747,NaN,NaN,10-06-2022 08:54:39.7470,NaN,NaN
1654854879.73,NaN,NaN,10-06-2022 09:54:39.7300,NaN,NaN
1654858479.67,NaN,NaN,10-06-2022 10:54:39.6700,NaN,NaN
1654862079.725,NaN,NaN,10-06-2022 11:54:39.7250,NaN,NaN
1654865679.719,NaN,NaN,10-06-2022 12:54:39.7190,NaN,NaN
1654869279.712,NaN,NaN,10-06-2022 13:54:39.7120,NaN,NaN
1654872879.705,NaN,NaN,10-06-2022 14:54:39.7050,NaN,NaN
1654876479.688,NaN,NaN,10-06-2022 15:54:39.6879,NaN,NaN
1654880079.682,NaN,NaN,10-06-2022 16:54:39.6820,NaN,NaN
1654883679.739,NaN,NaN,10-06-2022 17:54:39.7390,NaN,NaN
1654887279.73,NaN,NaN,10-06-2022 18:54:39.7300,NaN,NaN
1654890879.714,NaN,NaN,10-06-2022 19:54:39.7140,NaN,NaN
1654894479.655,0.030517578125,0.00222057221288747,10-06-2022 20:54:39.6550,-39.8253444718411,-51.272878257316
