burstID,unixTime,background,reading,temperature,datetime,corrected
1,1659225829.0,88.0,250.0,9.25,2022-07-31 00:03:49,162.0
2,1659229430.0,29.0,196.0,9.0,2022-07-31 01:03:50,167.0
3,1659233030.0,10.0,176.0,8.75,2022-07-31 02:03:50,166.0
4,1659236630.0,37.0,202.0,8.5,2022-07-31 03:03:50,165.0
5,1659240230.0,146.5,319.0,8.5,2022-07-31 04:03:50,172.5
6,1659243830.0,206.5,391.0,8.25,2022-07-31 05:03:50,184.5
7,1659247430.0,427.0,626.0,8.0,2022-07-31 06:03:50,199.0
8,1659251030.0,1326.0,1539.5,7.75,2022-07-31 07:03:50,213.5
9,1659254630.0,2006.0,2111.5,7.75,2022-07-31 08:03:50,
10,1659258230.0,2137.5,2548.5,7.5,2022-07-31 09:03:50,
11,1659261830.0,2005.5,2354.0,7.5,2022-07-31 10:03:50,
12,1659265430.0,2329.5,2707.0,7.5,2022-07-31 11:03:50,
13,1659269030.0,2615.0,2912.0,7.25,2022-07-31 12:03:50,
14,1659272630.0,2574.0,3187.0,7.25,2022-07-31 13:03:50,
15,1659276230.0,2315.0,2953.0,7.5,2022-07-31 14:03:50,
16,1659279830.0,3588.5,4188.0,7.5,2022-07-31 15:03:50,
17,1659283430.0,4172.5,4540.5,7.75,2022-07-31 16:03:50,
18,1659287030.0,3125.0,3728.0,8.0,2022-07-31 17:03:50,
19,1659290630.0,1858.5,2330.0,8.25,2022-07-31 18:03:50,471.5
20,1659294230.0,2171.0,2539.0,8.25,2022-07-31 19:03:50,
21,1659297830.0,1221.0,1664.5,8.25,2022-07-31 20:03:50,443.5
22,1659301430.0,438.0,811.0,8.25,2022-07-31 21:03:50,373.0
23,1659305030.0,230.0,594.0,8.0,2022-07-31 22:03:50,364.0
24,1659308630.0,97.0,434.0,8.0,2022-07-31 23:03:50,337.0
25,1659312230.0,4.0,345.0,7.75,2022-08-01 00:03:50,341.0
26,1659315831.0,3.0,324.5,7.75,2022-08-01 01:03:51,321.5
27,1659319431.0,3.0,320.0,7.5,2022-08-01 02:03:51,317.0
28,1659323031.0,3.0,325.0,7.5,2022-08-01 03:03:51,322.0
29,1659326631.0,3.0,342.0,7.25,2022-08-01 04:03:51,339.0
30,1659330231.0,40.0,395.0,7.0,2022-08-01 05:03:51,355.0
31,1659333831.0,182.0,603.0,7.0,2022-08-01 06:03:51,421.0
32,1659337431.0,276.0,789.0,6.75,2022-08-01 07:03:51,513.0
33,1659341031.0,324.5,841.0,6.75,2022-08-01 08:03:51,516.5
34,1659344631.0,623.0,1143.0,6.5,2022-08-01 09:03:51,520.0
35,1659348231.0,956.0,1340.0,6.5,2022-08-01 10:03:51,384.0
36,1659351831.0,957.0,1392.0,6.5,2022-08-01 11:03:51,435.0
37,1659355431.0,972.5,1473.0,6.5,2022-08-01 12:03:51,500.5
38,1659359031.0,1557.0,1916.0,6.25,2022-08-01 13:03:51,359.0
39,1659362631.0,1536.5,1917.0,6.5,2022-08-01 14:03:51,380.5
40,1659366231.0,1596.0,2039.0,6.5,2022-08-01 15:03:51,443.0
41,1659369831.0,1344.5,1812.0,6.5,2022-08-01 16:03:51,467.5
42,1659373432.0,1191.0,1572.5,6.5,2022-08-01 17:03:52,381.5
43,1659377033.0,1030.0,1432.0,6.5,2022-08-01 18:03:53,402.0
44,1659380633.0,974.5,1265.0,6.25,2022-08-01 19:03:53,290.5
45,1659384233.0,771.0,1091.0,6.25,2022-08-01 20:03:53,320.0
46,1659387834.0,607.5,973.0,6.25,2022-08-01 21:03:54,365.5
47,1659391435.0,267.0,591.0,6.25,2022-08-01 22:03:55,324.0
48,1659395035.0,100.0,431.0,6.25,2022-08-01 23:03:55,331.0
49,1659398635.0,72.0,370.0,6.25,2022-08-02 00:03:55,298.0
50,1659402236.0,3.0,291.0,6.0,2022-08-02 01:03:56,288.0
51,1659405836.0,3.0,273.0,6.0,2022-08-02 02:03:56,270.0
52,1659409436.0,7.0,281.0,6.0,2022-08-02 03:03:56,274.0
53,1659413036.0,96.5,366.0,5.75,2022-08-02 04:03:56,269.5
54,1659416636.0,349.0,603.0,5.75,2022-08-02 05:03:56,254.0
55,1659420236.0,656.0,936.0,5.75,2022-08-02 06:03:56,280.0
56,1659423836.0,1148.5,1376.0,5.5,2022-08-02 07:03:56,227.5
57,1659427436.0,2193.0,2436.0,5.5,2022-08-02 08:03:56,
58,1659431036.0,5234.5,5567.0,5.5,2022-08-02 09:03:56,
59,1659434636.0,6599.0,6997.0,5.5,2022-08-02 10:03:56,
60,1659438236.0,7294.5,7900.0,6.0,2022-08-02 11:03:56,
61,1659441836.0,8443.5,8783.0,6.25,2022-08-02 12:03:56,
62,1659445436.0,8846.0,9681.5,6.5,2022-08-02 13:03:56,
63,1659449036.0,9734.5,9661.5,6.75,2022-08-02 14:03:56,
