if found, contact efe@unc.edu
Running: C:\Users\Ted\Documents\GitHub\OpenOBS\sensor_firmware\sensor_firmware.ino
OpenOBS SN:25

time,R0,Rv,gain,temp
946684800,744,0,0,
946684800,746,0,0,
946684800,748,0,0,
946684800,740,0,0,
946684800,751,0,0,
946684800,745,0,0,
946684800,745,0,0,
946684800,749,0,0,
946684800,743,0,0,
946684800,752,0,0,
946684800,746,0,0,
946684800,749,0,0,
946684800,752,0,0,
946684800,745,0,0,
946684800,753,0,0,
946684801,747,0,0,
946684801,751,0,0,
946684801,752,0,0,
946684801,745,0,0,
946684801,752,0,0,
946684801,749,0,0,
946684801,747,0,0,
946684801,753,0,0,
946684801,745,0,0,
946684801,753,0,0,
946684801,749,0,0,
946684801,745,0,0,
946684801,751,0,0,
946684801,743,0,0,
946684801,749,0,0,
946684801,747,0,0,
946684801,744,0,0,
946684801,750,0,0,
946684801,741,0,0,
946684801,748,0,0,
946684801,746,0,0,
946684801,741,0,0,
946684801,748,0,0,
946684801,738,0,0,
946684801,745,0,0,
946684801,745,0,0,
946684801,740,0,0,
946684801,748,0,0,
946684801,738,0,0,
946684801,741,0,0,
946684801,744,0,0,
946684801,735,0,0,
946684801,744,0,0,
946684801,737,0,0,
946684801,739,0,0,
946684801,742,0,0,
946684801,735,0,0,
946684801,743,0,0,
946684801,736,0,0,
946684801,739,0,0,
946684801,742,0,0,
946684801,735,0,0,
946684801,743,0,0,
946684801,739,0,0,
946684801,740,0,0,
946684801,742,0,0,
946684801,736,0,0,
946684801,744,0,0,
946684801,740,0,0,
946684801,741,0,0,
946684801,745,0,0,
946684801,739,0,0,
946684801,746,0,0,
946684801,741,0,0,
946684801,743,0,0,
946684801,746,0,0,
946684801,738,0,0,
946684801,745,0,0,
946684801,744,0,0,
946684801,741,0,0,
946684801,748,0,0,
946684801,739,0,0,
946684801,747,0,0,
946684801,745,0,0,
946684801,741,0,0,
946684801,749,0,0,
946684801,742,0,0,
946684801,748,0,0,
946684801,746,0,0,
946684801,742,0,0,
946684801,750,0,0,
946684801,743,0,0,
946684801,749,0,0,
946684801,747,0,0,
946684801,742,0,0,
946684801,748,0,0,
946684801,741,0,0,
946684801,748,0,0,
946684801,746,0,0,
946684801,742,0,0,
946684801,749,0,0,
946684801,743,0,0,
946684801,744,0,0,
946684801,748,0,0,
946684801,740,0,0,
946684801,879,0,1,22.75
946684801,883,0,1,
946684801,875,0,1,
946684801,879,0,1,
946684801,880,0,1,
946684801,873,0,1,
946684801,881,0,1,
946684801,873,0,1,
946684801,876,0,1,
946684801,878,0,1,
946684801,868,0,1,
946684801,877,0,1,
946684801,871,0,1,
946684801,873,0,1,
946684801,874,0,1,
946684801,866,0,1,
946684801,875,0,1,
946684801,867,0,1,
946684801,867,0,1,
946684801,869,0,1,
946684801,860,0,1,
946684801,867,0,1,
946684801,865,0,1,
946684801,860,0,1,
946684801,865,0,1,
946684801,857,0,1,
946684801,863,0,1,
946684801,860,0,1,
946684801,855,0,1,
946684801,861,0,1,
946684801,852,0,1,
946684801,858,0,1,
946684801,856,0,1,
946684801,850,0,1,
946684801,855,0,1,
946684801,848,0,1,
946684801,851,0,1,
946684801,850,0,1,
946684801,843,0,1,
946684801,850,0,1,
946684801,843,0,1,
946684801,846,0,1,
946684801,846,0,1,
946684801,839,0,1,
946684801,845,0,1,
946684801,839,0,1,
946684801,838,0,1,
946684801,843,0,1,
946684801,834,0,1,
946684801,841,0,1,
946684801,837,0,1,
946684801,835,0,1,
946684801,841,0,1,
946684801,832,0,1,
946684801,839,0,1,
946684801,836,0,1,
946684801,833,0,1,
946684801,839,0,1,
946684801,832,0,1,
946684801,838,0,1,
946684801,836,0,1,
946684801,834,0,1,
946684801,839,0,1,
946684801,832,0,1,
946684801,837,0,1,
946684801,836,0,1,
946684801,832,0,1,
946684801,840,0,1,
946684801,831,0,1,
946684801,836,0,1,
946684801,835,0,1,
946684801,830,0,1,
946684801,837,0,1,
946684801,832,0,1,
946684801,834,0,1,
946684801,837,0,1,
946684801,829,0,1,
946684801,837,0,1,
946684801,833,0,1,
946684801,834,0,1,
946684801,837,0,1,
946684801,829,0,1,
946684801,838,0,1,
946684801,834,0,1,
946684801,832,0,1,
946684801,837,0,1,
946684801,827,0,1,
946684801,836,0,1,
946684801,831,0,1,
946684801,829,0,1,
946684801,833,0,1,
946684801,823,0,1,
946684801,831,0,1,
946684801,827,0,1,
946684801,824,0,1,
946684801,828,0,1,
946684801,820,0,1,
946684801,825,0,1,
946684801,825,0,1,
946684801,819,0,1,
946684801,824,0,1,
946684801,825,0,1,
946684801,819,0,1,
946684801,827,0,1,
946684801,820,0,1,
946684801,824,0,1,
946684801,824,0,1,
946684801,818,0,1,
946684801,826,0,1,
946684801,820,0,1,
946684801,822,0,1,
946684801,825,0,1,
946684802,819,0,1,
946684802,829,0,1,
946684802,823,0,1,
946684802,826,0,1,
946684802,831,0,1,
946684802,824,0,1,
946684802,834,0,1,
946684802,830,0,1,
946684802,832,0,1,
946684802,835,0,1,
946684802,829,0,1,
946684802,836,0,1,
946684802,836,0,1,
946684802,832,0,1,
946684802,840,0,1,
946684802,832,0,1,
946684802,839,0,1,
946684802,838,0,1,
946684802,833,0,1,
946684802,838,0,1,
946684802,830,0,1,
946684802,838,0,1,
946684802,835,0,1,
946684802,831,0,1,
946684802,838,0,1,
946684802,830,0,1,
946684802,837,0,1,
946684802,836,0,1,
946684802,831,0,1,
946684802,840,0,1,
946684802,833,0,1,
946684802,840,0,1,
946684802,840,0,1,
946684802,836,0,1,
946684802,844,0,1,
946684802,837,0,1,
946684802,843,0,1,
946684802,844,0,1,
946684802,839,0,1,
946684802,848,0,1,
946684802,844,0,1,
946684802,844,0,1,
946684802,849,0,1,
946684802,842,0,1,
946684802,849,0,1,
946684802,846,0,1,
946684802,844,0,1,
946684802,850,0,1,
946684802,843,0,1,
946684802,852,0,1,
946684802,849,0,1,
946684802,847,0,1,
946684802,853,0,1,
946684802,845,0,1,
946684802,852,0,1,
946684802,851,0,1,
946684802,848,0,1,
946684802,854,0,1,
946684802,845,0,1,
946684802,853,0,1,
946684802,851,0,1,
946684802,847,0,1,
946684802,851,0,1,
946684802,847,0,1,
946684802,848,0,1,
946684802,850,0,1,
946684802,842,0,1,
946684802,850,0,1,
946684802,845,0,1,
946684802,845,0,1,
946684802,848,0,1,
946684802,841,0,1,
946684802,850,0,1,
946684802,843,0,1,
946684802,845,0,1,
946684802,847,0,1,
946684802,839,0,1,
946684802,847,0,1,
946684802,842,0,1,
946684802,842,0,1,
946684802,846,0,1,
946684802,838,0,1,
946684802,847,0,1,
946684802,842,0,1,
946684802,841,0,1,
946684802,846,0,1,
946684802,838,0,1,
946684802,846,0,1,
946684802,846,0,1,
946684802,838,0,1,
946684802,844,0,1,
946684802,843,0,1,
946684802,838,0,1,
946684802,847,0,1,
946684802,841,0,1,
946684802,843,0,1,
946684802,846,0,1,
946684802,840,0,1,
946684802,852,0,1,
946684802,845,0,1,
946684802,848,0,1,
946684802,848,0,1,
946684802,842,0,1,
946684802,852,0,1,
946684802,847,0,1,
946684802,849,0,1,
946684802,849,0,1,
946684802,841,0,1,
946684802,849,0,1,
946684802,843,0,1,
946684802,845,0,1,
946684802,845,0,1,
946684802,836,0,1,
946684802,843,0,1,
946684802,840,0,1,
946684802,838,0,1,
946684802,841,0,1,
946684802,831,0,1,
946684802,837,0,1,
946684802,834,0,1,
946684802,830,0,1,
946684802,836,0,1,
946684802,824,0,1,
946684802,829,0,1,
946684802,827,0,1,
946684802,822,0,1,
946684802,829,0,1,
946684802,819,0,1,
946684802,825,0,1,
946684802,823,0,1,
946684802,819,0,1,
946684802,825,0,1,
946684802,816,0,1,
946684802,823,0,1,
946684802,821,0,1,
946684802,818,0,1,
946684802,825,0,1,
946684802,817,0,1,
946684802,823,0,1,
946684802,822,0,1,
