Serial_number:
2075532
Project ID:
SAG22
Location:
OBS0
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/9/2022,09:00:00 am,0,-0.327,16.80
6/9/2022,10:00:00 am,0,-0.114,9.70
6/9/2022,11:00:00 am,0,-0.031,14.80
6/9/2022,12:00:00 pm,0,0.718,3.90
6/9/2022,01:00:00 pm,0,0.717,4.10
6/9/2022,02:00:00 pm,0,0.709,4.20
6/9/2022,03:00:00 pm,0,0.719,4.40
6/9/2022,04:00:00 pm,0,0.724,4.40
6/9/2022,05:00:00 pm,0,0.709,4.50
6/9/2022,06:00:00 pm,0,0.701,4.80
6/9/2022,07:00:00 pm,0,0.694,4.90
6/9/2022,08:00:00 pm,0,0.701,4.90
6/9/2022,09:00:00 pm,0,0.691,4.90
6/9/2022,10:00:00 pm,0,0.710,4.80
6/9/2022,11:00:00 pm,0,0.695,4.70
6/10/2022,12:00:00 am,0,0.678,4.50
6/10/2022,01:00:00 am,0,0.687,4.30
6/10/2022,02:00:00 am,0,0.684,4.20
6/10/2022,03:00:00 am,0,0.670,4.10
6/10/2022,04:00:00 am,0,0.673,3.90
6/10/2022,05:00:00 am,0,0.659,3.80
6/10/2022,06:00:00 am,0,0.669,3.60
6/10/2022,07:00:00 am,0,0.652,3.40
6/10/2022,08:00:00 am,0,0.657,3.20
6/10/2022,09:00:00 am,0,0.642,3.10
6/10/2022,10:00:00 am,0,0.646,3.10
6/10/2022,11:00:00 am,0,0.632,3.00
6/10/2022,12:00:00 pm,0,0.627,3.10
6/10/2022,01:00:00 pm,0,0.624,3.20
6/10/2022,02:00:00 pm,0,0.620,3.20
6/10/2022,03:00:00 pm,0,0.623,3.30
6/10/2022,04:00:00 pm,0,0.608,3.40
6/10/2022,05:00:00 pm,0,0.616,3.60
6/10/2022,06:00:00 pm,0,0.602,3.10
6/10/2022,07:00:00 pm,0,0.608,3.20
6/10/2022,08:00:00 pm,0,0.613,3.30
6/10/2022,09:00:00 pm,0,0.618,3.30
6/10/2022,10:00:00 pm,0,0.600,3.20
6/10/2022,11:00:00 pm,0,0.592,3.10
6/11/2022,12:00:00 am,0,0.597,3.00
6/11/2022,01:00:00 am,0,0.583,2.80
6/11/2022,02:00:00 am,0,0.588,2.70
6/11/2022,03:00:00 am,0,0.578,2.60
6/11/2022,04:00:00 am,0,0.579,2.50
6/11/2022,05:00:00 am,0,0.573,2.40
6/11/2022,06:00:00 am,0,0.567,2.30
6/11/2022,07:00:00 am,0,0.564,2.20
6/11/2022,08:00:00 am,0,0.560,2.10
6/11/2022,09:00:00 am,0,0.549,2.10
6/11/2022,10:00:00 am,0,0.554,2.30
6/11/2022,11:00:00 am,0,0.534,2.50
6/11/2022,12:00:00 pm,0,0.546,2.70
6/11/2022,01:00:00 pm,0,0.543,3.10
6/11/2022,02:00:00 pm,0,0.540,3.40
6/11/2022,03:00:00 pm,0,0.537,4.00
6/11/2022,04:00:00 pm,0,0.529,4.30
6/11/2022,05:00:00 pm,0,0.533,4.80
6/11/2022,06:00:00 pm,0,0.532,4.90
6/11/2022,07:00:00 pm,0,0.530,5.10
6/11/2022,08:00:00 pm,0,0.537,5.20
6/11/2022,09:00:00 pm,0,0.537,5.20
6/11/2022,10:00:00 pm,0,0.538,5.20
6/11/2022,11:00:00 pm,0,0.529,5.20
6/12/2022,12:00:00 am,0,0.533,5.10
