Serial_number:
2024041
Project ID:
LOCSS
Location:
Killarney, IL
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/5/2022,02:30:00 pm,0,0.865,4.00
6/5/2022,02:45:00 pm,0,0.869,4.10
6/5/2022,03:00:00 pm,0,0.862,4.20
6/5/2022,03:15:00 pm,0,0.870,4.40
6/5/2022,03:30:00 pm,0,0.877,4.50
6/5/2022,03:45:00 pm,0,0.879,4.60
6/5/2022,04:00:00 pm,0,0.880,4.70
6/5/2022,04:15:00 pm,0,0.897,4.80
6/5/2022,04:30:00 pm,0,0.887,4.80
6/5/2022,04:45:00 pm,0,0.879,4.90
6/5/2022,05:00:00 pm,0,0.899,5.00
6/5/2022,05:15:00 pm,0,0.916,5.00
6/5/2022,05:30:00 pm,0,0.905,5.10
6/5/2022,05:45:00 pm,0,0.917,5.20
6/5/2022,06:00:00 pm,0,0.914,5.20
6/5/2022,06:15:00 pm,0,0.909,5.20
6/5/2022,06:30:00 pm,0,0.902,5.30
6/5/2022,06:45:00 pm,0,0.917,5.30
6/5/2022,07:00:00 pm,0,0.920,5.30
6/5/2022,07:15:00 pm,0,0.928,5.30
6/5/2022,07:30:00 pm,0,0.931,5.30
6/5/2022,07:45:00 pm,0,0.919,5.20
6/5/2022,08:00:00 pm,0,0.919,5.20
6/5/2022,08:15:00 pm,0,0.924,5.20
6/5/2022,08:30:00 pm,0,0.926,5.10
6/5/2022,08:45:00 pm,0,0.924,5.00
6/5/2022,09:00:00 pm,0,0.917,5.00
6/5/2022,09:15:00 pm,0,0.913,4.90
6/5/2022,09:30:00 pm,0,0.919,4.80
6/5/2022,09:45:00 pm,0,0.927,4.70
6/5/2022,10:00:00 pm,0,0.928,4.60
6/5/2022,10:15:00 pm,0,0.924,4.50
6/5/2022,10:30:00 pm,0,0.934,4.50
6/5/2022,10:45:00 pm,0,0.931,4.40
6/5/2022,11:00:00 pm,0,0.928,4.30
6/5/2022,11:15:00 pm,0,0.931,4.20
