Serial_number:
2093011
Project ID:
SAG22
Location:
SAG22_OBS5
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/5/2022,02:25:00 pm,0,0.881,2.70
6/5/2022,02:35:00 pm,0,0.887,2.80
6/5/2022,02:45:00 pm,0,0.893,2.90
6/5/2022,02:55:00 pm,0,0.893,2.90
6/5/2022,03:05:00 pm,0,0.896,3.00
6/5/2022,03:15:00 pm,0,0.900,3.10
6/5/2022,03:25:00 pm,0,0.900,3.10
6/5/2022,03:35:00 pm,0,0.903,3.20
6/5/2022,03:45:00 pm,0,0.909,3.30
6/5/2022,03:55:00 pm,0,0.912,3.30
6/5/2022,04:05:00 pm,0,0.909,3.40
6/5/2022,04:15:00 pm,0,0.912,3.50
6/5/2022,04:25:00 pm,0,0.915,3.50
6/5/2022,04:35:00 pm,0,0.918,3.60
6/5/2022,04:45:00 pm,0,0.918,3.70
6/5/2022,04:55:00 pm,0,0.921,3.70
6/5/2022,05:05:00 pm,0,0.925,3.80
6/5/2022,05:15:00 pm,0,0.925,3.80
6/5/2022,05:25:00 pm,0,0.919,3.80
6/5/2022,05:35:00 pm,0,0.923,3.90
6/5/2022,05:45:00 pm,0,0.929,4.00
6/5/2022,05:55:00 pm,0,0.926,4.00
6/5/2022,06:05:00 pm,0,0.923,4.00
6/5/2022,06:15:00 pm,0,0.930,4.00
6/5/2022,06:25:00 pm,0,0.925,4.00
6/5/2022,06:35:00 pm,0,0.927,4.10
6/5/2022,06:45:00 pm,0,0.926,4.10
6/5/2022,06:55:00 pm,0,0.919,4.10
6/5/2022,07:05:00 pm,0,0.917,4.10
6/5/2022,07:15:00 pm,0,0.925,4.10
6/5/2022,07:25:00 pm,0,0.925,4.10
6/5/2022,07:35:00 pm,0,0.925,4.10
6/5/2022,07:45:00 pm,0,0.922,4.10
6/5/2022,07:55:00 pm,0,0.922,4.10
6/5/2022,08:05:00 pm,0,0.925,4.10
6/5/2022,08:15:00 pm,0,0.924,4.00
6/5/2022,08:25:00 pm,0,0.922,4.00
6/5/2022,08:35:00 pm,0,0.920,4.00
6/5/2022,08:45:00 pm,0,0.918,4.00
6/5/2022,08:55:00 pm,0,0.916,3.90
6/5/2022,09:05:00 pm,0,0.921,3.80
6/5/2022,09:15:00 pm,0,0.919,3.80
6/5/2022,09:25:00 pm,0,0.919,3.80
6/5/2022,09:35:00 pm,0,0.923,3.80
6/5/2022,09:45:00 pm,0,0.924,3.70
6/5/2022,09:55:00 pm,0,0.920,3.70
6/5/2022,10:05:00 pm,0,0.926,3.60
6/5/2022,10:15:00 pm,0,0.921,3.60
6/5/2022,10:25:00 pm,0,0.921,3.50
6/5/2022,10:35:00 pm,0,0.922,3.40
6/5/2022,10:45:00 pm,0,0.925,3.40
6/5/2022,10:55:00 pm,0,0.927,3.30
6/5/2022,11:05:00 pm,0,0.929,3.30
6/5/2022,11:15:00 pm,0,0.925,3.20
6/5/2022,11:25:00 pm,0,0.925,3.20
6/5/2022,11:35:00 pm,0,0.924,3.10
6/5/2022,11:45:00 pm,0,0.926,3.10
6/5/2022,11:55:00 pm,0,0.927,3.00
6/6/2022,12:05:00 am,0,0.928,3.00
6/6/2022,12:15:00 am,0,0.930,2.90
6/6/2022,12:25:00 am,0,0.931,2.90
6/6/2022,12:35:00 am,0,0.929,2.80
6/6/2022,12:45:00 am,0,0.927,2.80
6/6/2022,12:55:00 am,0,0.928,2.70
6/6/2022,01:05:00 am,0,0.934,2.70
6/6/2022,01:15:00 am,0,0.930,2.70
6/6/2022,01:25:00 am,0,0.928,2.60
6/6/2022,01:35:00 am,0,0.929,2.60
6/6/2022,01:45:00 am,0,0.931,2.50
6/6/2022,01:55:00 am,0,0.928,2.50
6/6/2022,02:05:00 am,0,0.925,2.40
6/6/2022,02:15:00 am,0,0.925,2.40
6/6/2022,02:25:00 am,0,0.934,2.30
6/6/2022,02:35:00 am,0,0.927,2.30
6/6/2022,02:45:00 am,0,0.926,2.20
6/6/2022,02:55:00 am,0,0.930,2.20
6/6/2022,03:05:00 am,0,0.934,2.10
6/6/2022,03:15:00 am,0,0.930,2.00
6/6/2022,03:25:00 am,0,0.934,2.00
6/6/2022,03:35:00 am,0,0.926,2.00
6/6/2022,03:45:00 am,0,0.939,1.90
6/6/2022,03:55:00 am,0,0.936,1.90
6/6/2022,04:05:00 am,0,0.929,1.80
6/6/2022,04:15:00 am,0,0.939,1.80
6/6/2022,04:25:00 am,0,0.929,1.70
6/6/2022,04:35:00 am,0,0.934,1.60
6/6/2022,04:45:00 am,0,0.936,1.60
6/6/2022,04:55:00 am,0,0.930,1.50
6/6/2022,05:05:00 am,0,0.932,1.50
6/6/2022,05:15:00 am,0,0.928,1.40
6/6/2022,05:25:00 am,0,0.931,1.40
6/6/2022,05:35:00 am,0,0.933,1.40
6/6/2022,05:45:00 am,0,0.927,1.30
6/6/2022,05:55:00 am,0,0.934,1.30
6/6/2022,06:05:00 am,0,0.932,1.30
6/6/2022,06:15:00 am,0,0.929,1.20
6/6/2022,06:25:00 am,0,0.932,1.20
6/6/2022,06:35:00 am,0,0.935,1.20
6/6/2022,06:45:00 am,0,0.934,1.20
6/6/2022,06:55:00 am,0,0.931,1.10
6/6/2022,07:05:00 am,0,0.928,1.10
6/6/2022,07:15:00 am,0,0.929,1.10
