unixTime,hydrostatic_pressure,ambient,backscatter,water_temperature,battery_level,time,NTU,pressure_mbar,depth,temp_C
1664811856,13806,0,3570,478,848,03-10-2022 15:44:16.0000,63.3173883913535,1380.6,3.88103990659399,4.78
1664811856,13832,0,3544,446,848,03-10-2022 15:44:16.0000,56.6765575792519,1383.2,3.90755252813142,4.46
1664811862,13759,0,3547,502,854,03-10-2022 15:44:22.0000,57.4428072883406,1375.9,3.83311324458403,5.02
1664842540,13761,0,3539,514,853,04-10-2022 00:15:40.0000,55.3994747307708,1376.1,3.83515267700999,5.14
1664846140,13871,0,3540,508,847,04-10-2022 01:15:40.0000,55.6548913004671,1387.1,3.94732146043756,5.08
1664853340,13826,0,3557,494,851,04-10-2022 03:15:40.0000,59.9969729853027,1382.6,3.90143423085355,4.94
1664856940,13854,0,3534,486,837,04-10-2022 04:15:40.0000,54.1223918822898,1385.4,3.92998628481694,4.86
1664864140,13786,0,3540,469,848,04-10-2022 06:15:40.0000,55.6548913004671,1378.6,3.86064558233443,4.69
1664867740,13779,0,3537,458,843,04-10-2022 07:15:40.0000,54.8886415913784,1377.9,3.85350756884359,4.58
1664874940,13762,0,3539,437,831,04-10-2022 09:15:40.0000,55.3994747307708,1376.2,3.83617239322297,4.37
1664877384,13841,0,3528,431,840,04-10-2022 09:56:24.0000,52.5898924641125,1384.1,3.91672997404822,4.31
1664877391,13776,0,3544,455,847,04-10-2022 09:56:31.0000,56.6765575792519,1377.6,3.85044842020466,4.55
1664877401,13707,0,3521,469,857,04-10-2022 09:56:41.0000,50.801976476239,1370.7,3.78008800150918,4.69
1664877402,13736,0,3537,484,858,04-10-2022 09:56:42.0000,54.8886415913784,1373.6,3.80965977168554,4.84
1664877403,13978,0,3545,454,859,04-10-2022 09:56:43.0000,56.9319741489481,1397.8,4.0564310952262,4.54
1664877408,13922,0,3520,486,864,04-10-2022 09:56:48.0000,50.5465599065428,1392.2,3.99932698729944,4.86
1664878540,13835,0,3541,431,848,04-10-2022 10:15:40.0000,55.9103078701633,1383.5,3.91061167677035,4.31
1664885740,13843,0,3543,435,852,04-10-2022 12:15:40.0000,56.4211410095557,1384.3,3.91876940647418,4.35
1664889340,13774,0,3524,444,868,04-10-2022 13:15:40.0000,51.5682261853276,1377.4,3.8484089877787,4.44
1664896540,13790,0,3524,464,862,04-10-2022 15:15:40.0000,51.5682261853276,1379,3.86472444718635,4.64
1664900140,13842,0,3536,477,865,04-10-2022 16:15:40.0000,54.6332250216822,1384.2,3.9177496902612,4.77
1664907340,13822,0,3526,490,862,04-10-2022 18:15:40.0000,52.0790593247201,1382.2,3.89735536600164,4.9
1664910940,13784,0,3518,487,851,04-10-2022 19:15:40.0000,50.0357267671504,1378.4,3.85860614990848,4.87
1664918140,13764,0,3555,481,861,04-10-2022 21:15:40.0000,59.4861398459103,1376.4,3.83821182564892,4.81
1664921740,13857,0,3528,476,857,04-10-2022 22:15:40.0000,52.5898924641125,1385.7,3.93304543345587,4.76
1664928940,13792,0,3514,464,847,05-10-2022 00:15:40.0000,49.0140604883655,1379.2,3.8667638796123,4.64
1664932540,13807,0,3523,458,850,05-10-2022 01:15:40.0000,51.3128096156314,1380.7,3.88205962280697,4.58
1664939740,13819,0,3535,453,853,05-10-2022 03:15:40.0000,54.377808451986,1381.9,3.89429621736271,4.53
1664942922,13964,0,3508,416,842,05-10-2022 04:08:42.0000,47.4815610701882,1396.4,4.04215506824451,4.16
1664942923,13721,0,3521,446,843,05-10-2022 04:08:43.0000,50.801976476239,1372.1,3.79436402849087,4.46
1664942925,13878,0,3540,430,845,05-10-2022 04:08:45.0000,55.6548913004671,1387.8,3.9544594739284,4.3
1664942932,13802,0,3516,435,852,05-10-2022 04:08:52.0000,49.5248936277579,1380.2,3.87696104174208,4.35
1664942938,13921,0,3509,469,858,05-10-2022 04:08:58.0000,47.7369776398844,1392.1,3.99830727108646,4.69
1664942947,13770,0,3499,464,867,05-10-2022 04:09:07.0000,45.1828119429223,1377,3.84433012292679,4.64
1664943340,13729,0,3523,448,852,05-10-2022 04:15:40.0000,51.3128096156314,1372.9,3.80252175819469,4.48
1664950540,13764,0,3524,442,839,05-10-2022 06:15:40.0000,51.5682261853276,1376.4,3.83821182564892,4.42
1664954140,13759,0,3536,437,850,05-10-2022 07:15:40.0000,54.6332250216822,1375.9,3.83311324458403,4.37
1664961340,13796,0,3518,423,831,05-10-2022 09:15:40.0000,50.0357267671504,1379.6,3.87084274446421,4.23
1664964940,13790,0,3521,417,835,05-10-2022 10:15:40.0000,50.801976476239,1379,3.86472444718635,4.17
1664972140,13835,0,3522,417,842,05-10-2022 12:15:40.0000,51.0573930459352,1383.5,3.91061167677035,4.17
1664975740,13866,0,3526,423,851,05-10-2022 13:15:40.0000,52.0790593247201,1386.6,3.94222287937267,4.23
1664982940,13828,0,3528,446,854,05-10-2022 15:15:40.0000,52.5898924641125,1382.8,3.90347366327951,4.46
