serial number: 210571
lat: 64.74
lon: -148.24
time,pressure (mbar),approximate depth (m),ambient,backscatter,temp (C),battery (V)
2022-10-04 13:35:29,1435.2,4.44,0.0,9349.0,4.92,4.05
2022-10-04 13:35:30,1429.9,4.38,0.0,9357.0,4.92,4.05
2022-10-04 13:35:31,1431.9,4.40,0.0,9346.0,4.92,4.05
2022-10-04 13:36:24,1439.0,4.48,0.0,9332.0,4.9,4.12
2022-10-04 14:36:24,1441.5,4.50,0.0,8877.0,4.83,4.12
2022-10-04 15:36:24,1424.0,4.32,0.0,8640.0,5.07,4.12
2022-10-04 16:36:24,1442.7,4.51,0.0,8482.0,5.27,4.11
2022-10-04 17:36:24,1432.8,4.41,0.0,8341.0,5.42,4.11
2022-10-04 18:36:24,1441.5,4.50,0.0,8219.0,5.53,4.11
2022-10-04 22:36:24,1437.5,4.46,0.0,7849.0,5.85,4.02
2022-10-04 23:36:24,1443.3,4.52,0.0,7786.0,5.93,4.02
2022-10-05 00:36:24,1440.8,4.49,0.0,7713.0,5.97,4.02
2022-10-05 01:36:24,1438.5,4.47,0.0,7664.0,6.0,4.0
2022-10-05 02:36:24,1434.5,4.43,0.0,7601.0,6.02,4.0
2022-10-05 03:36:24,1437.3,4.46,0.0,7547.0,6.0,4.0
2022-10-05 04:36:24,1426.3,4.35,0.0,7493.0,5.99,3.99
2022-10-05 05:36:24,1456.2,4.65,0.0,7441.0,5.96,3.99
2022-10-05 06:36:24,1428.3,4.37,0.0,7394.0,5.92,3.99
2022-10-05 07:36:24,1440.9,4.50,0.0,7350.0,5.89,3.96
2022-10-05 08:36:24,1447.3,4.56,0.0,7304.0,5.85,3.96
2022-10-05 09:36:24,1457.4,4.66,0.0,7271.0,5.83,3.96
2022-10-05 10:36:24,1451.4,4.60,0.0,7242.0,5.83,4.03
2022-10-05 11:36:24,1430.1,4.39,0.0,7205.0,5.86,4.03
2022-10-05 12:36:24,1442.8,4.52,0.0,7167.0,5.88,4.03
2022-10-05 13:36:24,1436.9,4.46,0.0,7140.0,5.91,4.12
2022-10-05 14:36:24,1426.1,4.35,0.0,7104.0,5.96,4.12
2022-10-05 15:36:24,1427.8,4.36,0.0,7067.0,6.0,4.12
2022-10-05 16:36:24,998.0,-0.02,4.0,7075.0,6.13,4.1
2022-10-05 17:36:24,1382.1,3.90,0.0,3189.0,5.96,4.1
2022-10-05 18:36:24,1377.5,3.85,0.0,3181.0,5.86,4.1
2022-10-05 19:36:24,1373.5,3.81,0.0,3177.0,5.78,4.05
2022-10-05 20:36:24,1370.9,3.78,0.0,3172.0,5.7,4.05
2022-10-05 21:36:24,1370.7,3.78,0.0,3183.0,5.62,4.05
2022-10-05 22:36:24,1377.3,3.85,0.0,3164.0,5.55,4.02
2022-10-05 23:36:24,1361.5,3.69,0.0,3193.0,5.47,4.02
2022-10-06 00:36:24,1378.6,3.86,0.0,3205.0,5.42,4.02
2022-10-06 01:36:24,1384.3,3.92,0.0,3168.0,5.34,4.01
2022-10-06 02:36:24,1367.4,3.75,0.0,3158.0,5.28,4.01
2022-10-06 03:36:24,1366.3,3.74,0.0,3166.0,5.23,4.01
2022-10-06 07:36:24,1372.4,3.80,0.0,3177.0,5.12,3.98
2022-10-06 08:36:24,1374.9,3.82,0.0,3159.0,5.06,3.98
2022-10-06 09:36:24,1384.4,3.92,0.0,3172.0,5.02,3.98
2022-10-06 10:36:24,1387.0,3.95,0.0,3177.0,4.98,3.99
2022-10-06 11:36:24,1385.7,3.93,0.0,3153.0,4.96,3.99
2022-10-06 12:36:24,1375.3,3.83,0.0,3156.0,4.94,3.99
2022-10-06 13:36:24,1387.4,3.95,0.0,3163.0,4.98,3.99
2022-10-06 14:36:24,1370.7,3.78,0.0,3184.0,5.0,3.99
2022-10-06 15:36:24,1372.8,3.80,0.0,3176.0,4.98,3.99
2022-10-06 16:36:24,1381.6,3.89,0.0,3160.0,4.98,3.98
2022-10-06 17:36:24,1392.8,4.01,0.0,3158.0,4.98,3.98
2022-10-06 18:36:24,1378.2,3.86,0.0,3174.0,4.98,3.98
2022-10-06 19:36:24,1396.9,4.05,0.0,3163.0,4.98,3.98
2022-10-06 20:36:24,1388.6,3.96,0.0,3166.0,5.0,3.98
2022-10-06 21:36:24,1365.8,3.73,0.0,3160.0,5.03,3.98
2022-10-06 22:36:24,1378.5,3.86,0.0,3177.0,5.06,3.96
2022-10-06 23:36:24,1385.9,3.94,0.0,3172.0,5.08,3.96
2022-10-07 00:36:24,1364.6,3.72,0.0,3164.0,5.12,3.96
2022-10-07 01:36:24,1378.3,3.86,0.0,3158.0,5.15,3.97
2022-10-07 02:36:24,1370.8,3.78,0.0,3160.0,5.17,3.97
2022-10-07 03:36:24,1382.3,3.90,0.0,3161.0,5.19,3.97
2022-10-07 04:36:24,1374.1,3.81,0.0,3158.0,5.21,3.95
