If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:106

time,ambient_light,scattered_light
1677456746,17,2956
1677457646,16,2947
1677458546,17,2948
1677459446,17,2943
1677460346,17,2952
1677461246,17,2969
1677462146,17,2958
1677463046,17,2945
1677463946,17,2960
1677464846,17,2970
1677465746,17,2954
1677466646,17,2973
1677467546,17,2938
1677468446,17,2955
1677469346,16,2944
1677470246,17,2946
1677471146,17,2964
1677472046,16,2944
1677472946,16,2958
1677473846,17,2957
1677474746,17,2954
1677475646,17,2987
1677476546,17,2960
1677477446,17,2956
1677478346,17,2945
1677479246,16,2958
1677480146,17,2946
1677481046,17,2951
1677481946,17,2989
1677482846,17,2957
1677483746,17,2945
1677484646,17,2952
1677485546,17,2999
1677486446,17,2955
1677487346,18,2982
1677488246,18,2977
1677489146,20,2966
1677490046,20,2955
1677490946,21,2950
1677491846,22,3167
1677492746,23,2968
1677493646,24,2975
1677494546,24,3028
1677495446,26,2964
1677496346,27,2953
1677497246,28,2953
1677498146,28,3010
1677499046,28,3012
1677499946,51,2946
1677500846,5898,10992
1677501746,5832,17137
1677502646,28,17687
1677503546,24,17671
1677504446,25,17464
1677505346,28,17352
1677506246,24,17441
1677507146,326,27287
1677508046,208,16216
1677508946,377,6948
1677509846,347,6950
1677510746,336,7065
1677511646,108,6998
1677512546,186,10847
1677513446,169,11058
1677514346,251,11074
1677515246,556,11002
1677516146,18,11650
1677517046,20,11680
1677517946,22,11680
1677518846,23,11691
1677519746,23,11697
1677520646,23,11702
1677521546,131,11698
1677522446,24,11706
1677523346,24,11713
1677524246,24,11723
1677525146,23,11730
1677526046,25,11734
1677526946,24,11726
1677527846,25,11721
1677528746,25,11730
1677529646,25,11719
1677530546,26,11729
1677531446,25,11742
1677532346,26,11722
1677533246,25,11731
1677534146,26,11731
1677535046,26,11739
1677535946,26,11738
1677536846,26,11749
1677537746,27,11745
1677538646,26,11750
1677539546,27,11751
1677540446,27,11747
1677541346,26,11755
1677542246,27,11757
