time,ambient_light,scattered_light,dt,NTU
1674569913,1184,8588,24-01-2023 14:18:33.0000,NaN
1674569928,1186,8596,24-01-2023 14:18:48.0000,NaN
1674569928,1191,8588,24-01-2023 14:18:48.0000,NaN
1674569928,1193,8600,24-01-2023 14:18:48.0000,NaN
1674569928,1170,8603,24-01-2023 14:18:48.0000,NaN
1674569928,1167,8597,24-01-2023 14:18:48.0000,NaN
1674569928,1144,8601,24-01-2023 14:18:48.0000,NaN
1674569928,1136,8597,24-01-2023 14:18:48.0000,NaN
1674569929,1161,8597,24-01-2023 14:18:49.0000,NaN
1674569929,1160,8596,24-01-2023 14:18:49.0000,NaN
1674569929,1148,8599,24-01-2023 14:18:49.0000,NaN
1674569929,1137,8599,24-01-2023 14:18:49.0000,NaN
1674569929,1136,8591,24-01-2023 14:18:49.0000,NaN
1674569929,1131,8603,24-01-2023 14:18:49.0000,NaN
1674569929,1137,8604,24-01-2023 14:18:49.0000,NaN
1674569929,1133,8600,24-01-2023 14:18:49.0000,NaN
1674569930,1126,8597,24-01-2023 14:18:50.0000,NaN
1674569930,1118,8599,24-01-2023 14:18:50.0000,NaN
1674569930,1106,8593,24-01-2023 14:18:50.0000,NaN
1674569930,1092,8604,24-01-2023 14:18:50.0000,NaN
1674569930,1090,8603,24-01-2023 14:18:50.0000,NaN
1674569930,1090,8600,24-01-2023 14:18:50.0000,NaN
1674569930,1083,8596,24-01-2023 14:18:50.0000,NaN
1674569931,1071,8597,24-01-2023 14:18:51.0000,NaN
1674569931,1058,8601,24-01-2023 14:18:51.0000,NaN
1674569931,1049,8592,24-01-2023 14:18:51.0000,NaN
1674569931,1038,8593,24-01-2023 14:18:51.0000,NaN
1674569931,1024,8598,24-01-2023 14:18:51.0000,NaN
1674569931,1001,8598,24-01-2023 14:18:51.0000,NaN
1674569931,991,8595,24-01-2023 14:18:51.0000,NaN
1674569931,978,8605,24-01-2023 14:18:51.0000,NaN
1674569932,972,8592,24-01-2023 14:18:52.0000,NaN
1674569932,970,8596,24-01-2023 14:18:52.0000,NaN
1674569932,965,8595,24-01-2023 14:18:52.0000,NaN
1674569932,991,8605,24-01-2023 14:18:52.0000,NaN
1674569932,1018,8600,24-01-2023 14:18:52.0000,NaN
1674569932,1093,8594,24-01-2023 14:18:52.0000,NaN
1674569932,1155,8602,24-01-2023 14:18:52.0000,NaN
1674569933,1193,8593,24-01-2023 14:18:53.0000,NaN
1674569933,1202,8592,24-01-2023 14:18:53.0000,NaN
1674569933,1204,8592,24-01-2023 14:18:53.0000,NaN
1674569933,1208,8593,24-01-2023 14:18:53.0000,NaN
1674569933,1207,8602,24-01-2023 14:18:53.0000,NaN
1674569933,1211,8603,24-01-2023 14:18:53.0000,NaN
1674569938,1201,8599,24-01-2023 14:18:58.0000,NaN
1674570838,12073,8716,24-01-2023 14:33:58.0000,NaN
1674571738,14127,8391,24-01-2023 14:48:58.0000,NaN
1674572638,36,2697,24-01-2023 15:03:58.0000,NaN
1674573538,30,2711,24-01-2023 15:18:58.0000,NaN
1674574438,27,2721,24-01-2023 15:33:58.0000,NaN
1674575338,23,2705,24-01-2023 15:48:58.0000,NaN
1674576238,22,2711,24-01-2023 16:03:58.0000,NaN
1674577138,20,2714,24-01-2023 16:18:58.0000,NaN
1674578038,18,2719,24-01-2023 16:33:58.0000,NaN
1674578938,18,2715,24-01-2023 16:48:58.0000,NaN
1674579838,17,2713,24-01-2023 17:03:58.0000,NaN
1674580738,18,2708,24-01-2023 17:18:58.0000,NaN
1674581638,18,2712,24-01-2023 17:33:58.0000,NaN
1674582538,18,2710,24-01-2023 17:48:58.0000,NaN
1674583438,18,2713,24-01-2023 18:03:58.0000,NaN
1674584338,16,2707,24-01-2023 18:18:58.0000,NaN
