If found, please contact tlang@live.unc.edu
Firmware updated: 2023/02/27
OpenOBS SN:000

time,ambient_light,backscatter,pressure,water_temp,battery
1677518326,1307,11354,9823,2145,649
1677518327,1300,11360,9826,2145,641
1677518328,2402,11296,9824,2145,639
1677518329,3068,11273,9824,2145,639
1677518330,2218,11287,9823,2146,639
1677518331,1949,11286,9824,2146,639
1677518332,2206,11282,9823,2146,641
1677518333,2430,11282,9823,2146,640
1677518334,2725,11273,9822,2146,640
1677518335,2638,11279,9824,2146,639
1677518336,1272,11273,9823,2147,639
1677518337,535,11294,9826,2146,639
1677518338,1037,11296,9823,2147,639
1677518339,1049,11291,9824,2147,639
1677518340,1039,11295,9822,2147,639
1677518341,1029,11294,9825,2147,639
1677518342,1026,11295,9825,2147,639
1677518343,1013,11294,9824,2147,639
1677518344,1011,11293,9823,2147,639
1677518344,990,11294,9822,2147,639
1677518345,1033,11293,9825,2147,639
1677518346,1037,11292,9824,2147,639
1677518347,1035,11295,9825,2147,639
1677518348,1037,11284,9825,2147,639
1677518349,1052,11290,9825,2148,639
1677518350,1055,11288,9823,2148,639
1677518351,1055,11289,9824,2148,639
1677518352,1055,11289,9825,2148,639
1677518353,1146,11282,9823,2148,639
1677518354,1333,11282,9824,2148,639
1677518355,1337,11276,9825,2148,639
1677518356,1334,11283,9824,2148,639
1677518357,1342,11281,9824,2149,639
1677518358,1341,11274,9824,2149,639
1677518359,1329,11278,9822,2149,639
1677518360,1327,11281,9823,2149,639
1677518361,1323,11280,9824,2149,639
1677518362,1326,11283,9823,2149,639
1677518363,1338,11284,9824,2149,639
1677518364,1340,11279,9824,2149,639
1677518365,1328,11280,9826,2149,639
1677518365,1328,11277,9823,2149,639
1677518366,1319,11281,9824,2149,639
1677518367,1278,11277,9823,2149,639
1677518368,1281,11279,9823,2149,639
1677518369,1281,11279,9825,2149,639
1677518370,1275,11289,9824,2149,639
1677518371,1270,11281,9823,2149,639
1677518372,1292,11278,9823,2150,639
1677518373,1291,11276,9824,2150,639
1677518374,1320,11276,9823,2150,639
1677518375,1325,11280,9824,2150,639
1677518376,1343,11283,9825,2150,639
1677518377,1344,11282,9827,2150,639
1677518378,1346,11282,9823,2150,639
1677518379,1349,11284,9825,2150,639
1677518380,1347,11285,9822,2150,639
1677518381,1328,11277,9824,2150,639
1677518382,1339,11280,9824,2150,639
1677518383,1334,11283,9822,2151,639
1677518384,1335,11273,9824,2150,639
1677518385,1333,11277,9825,2151,639
1677518386,1340,11283,9824,2151,639
1677518386,1340,11283,9824,2151,639
1677518387,1340,11283,9823,2151,639
1677518388,1343,11280,9826,2151,639
1677518389,1342,11278,9824,2151,639
1677518390,1342,11278,9826,2151,639
1677518391,1338,11281,9825,2151,639
1677518392,1340,11287,9824,2151,639
1677518393,1343,11281,9823,2151,639
1677518394,1348,11280,9823,2151,639
1677518395,1347,11278,9826,2152,639
1677518396,1350,11280,9824,2152,639
1677518397,1351,11278,9823,2151,639
1677518398,1328,11278,9824,2152,639
1677518399,1327,11280,9823,2152,639
1677518400,1327,11285,9825,2151,639
1677518401,1327,11285,9824,2152,639
1677518402,1343,11280,9825,2151,639
1677518403,1341,11282,9824,2152,639
1677518404,1342,11279,9825,2152,639
1677518405,1343,11278,9825,2152,639
1677518406,1351,11279,9824,2152,639
1677518407,1353,11275,9822,2152,639
1677518407,1351,11281,9823,2152,639
1677518408,1352,11277,9825,2152,639
1677518409,1367,11280,9824,2152,639
1677518410,1359,11280,9823,2152,639
1677518411,1351,11279,9822,2152,639
1677518412,1346,11280,9824,2153,639
1677518413,1353,11278,9824,2152,639
1677518414,1355,11278,9822,2153,639
1677518415,1355,11283,9825,2153,639
1677518416,1357,11276,9824,2153,639
1677518417,1355,11276,9824,2153,639
1677518418,1356,11285,9824,2153,639
1677518419,1358,11278,9825,2153,639
1677518420,1357,11278,9823,2153,639
1677518421,1357,11281,9826,2153,639
1677518422,1358,11283,9824,2153,639
1677518423,1357,11279,9823,2153,639
1677518424,1356,11275,9823,2153,639
1677518425,1358,11284,9823,2153,639
1677518426,1358,11284,9824,2153,639
1677518427,1361,11279,9823,2153,639
1677518428,1357,11283,9824,2154,639
1677518428,1356,11277,9823,2154,639
1677518429,1360,11281,9823,2154,639
1677518430,1363,11281,9824,2153,639
1677518431,1366,11275,9825,2154,639
1677518432,1360,11280,9825,2154,639
1677518433,1319,11276,9822,2154,639
1677518434,1338,11278,9822,2153,639
1677518435,1340,11281,9823,2154,639
1677518436,1341,11281,9824,2154,639
1677518437,1341,11282,9824,2154,639
1677518438,1333,11284,9825,2154,639
1677518439,1336,11279,9823,2154,639
1677518440,1337,11281,9823,2154,639
1677518441,1320,11274,9823,2154,639
1677518442,1356,11278,9824,2154,639
1677518443,1356,11276,9824,2154,639
1677518444,1357,11279,9823,2154,639
1677518445,1358,11276,9823,2154,639
1677518446,1357,11281,9824,2154,639
1677518447,1362,11279,9825,2154,639
1677518448,1365,11283,9823,2154,639
1677518449,1611,11273,9822,2154,639
1677518450,1821,11273,9824,2154,639
1677518450,1820,11270,9824,2154,639
1677518451,1815,11271,9823,2154,639
1677518452,1812,11272,9824,2154,639
1677518453,1809,11278,9824,2154,639
1677518454,1778,11279,9822,2154,639
1677518455,1809,11270,9823,2154,639
1677518456,1834,11269,9824,2154,639
1677518457,1837,11275,9823,2154,639
1677518458,1858,11270,9825,2154,639
1677518459,1823,11274,9823,2155,639
1677518460,1768,11274,9823,2154,639
1677518461,1816,11272,9826,2155,639
1677518462,1816,11274,9822,2155,639
1677518463,1859,11270,9822,2155,639
1677518464,1857,11269,9824,2155,639
1677518465,1851,11273,9823,2155,639
1677518466,1846,11276,9823,2155,639
1677518467,1830,11277,9824,2155,639
1677518468,1835,11273,9824,2155,639
1677518469,1829,11273,9823,2155,639
1677518470,1806,11273,9822,2155,639
1677518471,1810,11269,9823,2155,639
1677518471,1811,11273,9825,2155,639
1677518472,1808,11272,9823,2155,639
1677518473,1823,11272,9825,2155,639
1677518474,1813,11273,9823,2155,639
1677518475,1818,11271,9822,2155,639
1677518476,1818,11269,9822,2155,639
1677518477,1819,11272,9821,2155,639
1677518478,1818,11275,9824,2155,639
1677518479,1818,11275,9822,2155,639
1677518480,1818,11270,9824,2155,639
1677518481,1818,11274,9824,2155,639
1677518482,1818,11271,9823,2155,639
1677518483,1818,11275,9824,2155,639
1677518484,1819,11274,9822,2155,639
1677518485,1819,11274,9824,2155,639
1677518486,1818,11270,9824,2155,639
1677518487,1818,11275,9823,2155,639
1677518488,1819,11276,9824,2155,639
1677518489,1816,11273,9824,2155,639
1677518490,1808,11272,9822,2155,639
1677518491,1793,11275,9823,2155,639
1677518492,1809,11275,9822,2155,639
1677518492,1816,11270,9824,2155,639
1677518493,1815,11270,9824,2155,639
1677518494,1817,11276,9822,2155,639
1677518495,1794,11272,9825,2155,639
1677518496,1809,11271,9823,2155,639
1677518497,1802,11275,9822,2156,639
1677518498,1804,11273,9824,2155,639
1677518499,1804,11275,9824,2156,639
1677518500,1804,11274,9824,2156,639
1677518501,1796,11274,9822,2156,639
1677518502,1846,11274,9825,2156,639
1677518503,1848,11271,9821,2156,639
1677518504,1846,11271,9823,2156,639
1677518505,1862,11274,9824,2156,639
1677518506,1862,11272,9823,2156,639
1677518507,1859,11270,9823,2156,639
1677518508,1847,11267,9823,2156,639
1677518509,1846,11272,9824,2156,639
1677518510,1845,11273,9824,2156,639
1677518511,1841,11271,9823,2156,639
1677518512,1841,11272,9823,2157,639
1677518513,1842,11265,9824,2156,639
1677518513,1856,11272,9823,2156,639
1677518514,1837,11275,9823,2157,639
1677518515,1839,11268,9824,2157,639
1677518516,1835,11275,9825,2157,639
1677518517,1841,11274,9823,2157,639
1677518518,1858,11277,9822,2157,639
1677518519,1865,11270,9825,2157,639
1677518520,1868,11273,9824,2157,639
1677518521,1870,11268,9824,2157,639
1677518522,1870,11269,9825,2157,639
1677518523,1870,11268,9824,2157,639
1677518524,1871,11274,9824,2157,639
1677518525,1870,11270,9823,2157,639
1677518526,1868,11271,9824,2157,639
1677518527,1865,11276,9824,2157,639
1677518528,1837,11274,9823,2157,639
1677518529,1843,11271,9822,2157,639
1677518530,1834,11277,9823,2157,639
1677518531,1835,11271,9823,2157,639
1677518532,1836,11279,9821,2157,639
1677518533,1838,11273,9822,2157,639
1677518534,1838,11269,9822,2157,639
1677518534,1837,11273,9823,2157,639
1677518535,1838,11273,9822,2157,639
1677518536,1834,11270,9822,2157,639
1677518537,1838,11269,9823,2157,639
1677518538,1836,11272,9825,2157,639
1677518539,1837,11275,9824,2157,639
1677518540,1836,11277,9823,2158,639
1677518541,1823,11274,9822,2158,639
1677518542,1834,11275,9822,2158,639
1677518543,1834,11273,9821,2158,639
1677518544,1837,11273,9822,2158,639
1677518545,1803,11273,9824,2158,639
1677518546,1798,11270,9825,2158,639
1677518547,1796,11270,9824,2158,639
1677518548,1796,11269,9823,2158,639
1677518549,1856,11274,9822,2158,639
1677518550,1859,11272,9822,2158,639
1677518551,1860,11273,9824,2158,639
1677518552,1861,11272,9823,2158,639
1677518553,1861,11270,9822,2158,639
1677518554,1860,11267,9824,2158,639
1677518555,1859,11265,9823,2158,639
1677518555,1860,11267,9823,2158,639
1677518556,1859,11274,9824,2158,639
1677518557,1867,11266,9822,2158,639
1677518558,1892,11271,9822,2158,639
